location_base,lng,lat,trip_count,passenger_count
DROPOFF,-74.005283233071552,40.75732559541985,289,514
DROPOFF,-73.949476531379972,40.809082386988749,290,509
DROPOFF,-74.009350136089935,40.751926815927725,205,323
DROPOFF,-73.976352136793338,40.729029156815045,826,1401
DROPOFF,-73.988759621440352,40.718122062723104,1341,2278
DROPOFF,-73.958444048271758,40.763878240160551,2324,3863
DROPOFF,-73.955796497649615,40.806267919330843,468,778
DROPOFF,-73.94397984787912,40.777486917346373,857,1431
DROPOFF,-73.954170139766759,40.653012505148006,33,61
DROPOFF,-73.971872759094524,40.723863798654385,17,28
DROPOFF,-73.913235054479372,40.7571483722578,86,126
DROPOFF,-73.957834954207812,40.803567813962793,443,711
DROPOFF,-73.940931261066012,40.75376993809563,156,255
DROPOFF,-73.990170329831855,40.699586436411465,138,244
DROPOFF,-73.9117923024518,40.7756958229735,175,304
DROPOFF,-73.80632048493969,40.759921629798384,4,5
DROPOFF,-73.947640358163014,40.817068848089548,129,210
DROPOFF,-73.919791907864834,40.704114515856467,45,70
DROPOFF,-74.003401896067274,40.709796593147054,544,881
